customer_index,monthly_charges,tenure,segment,churn_probability,actual_churn,clv,retention_cost,action,reason,roi
3357,59.2,1,Low Value,0.8527,1,1361.6,30,💌 Low Priority — Send retention voucher,CLV ($1361.6) > Retention Cost ($30) → ROI = $1331.6,1331.6
2543,98.15,13,Low Value,0.7108,1,1079.65,30,💌 Low Priority — Send retention voucher,CLV ($1079.65) > Retention Cost ($30) → ROI = $1049.65,1049.65
5360,84.5,5,Low Value,0.7023,1,1605.5,30,💌 Low Priority — Send retention voucher,CLV ($1605.5) > Retention Cost ($30) → ROI = $1575.5,1575.5
6268,20.85,22,Mid Value,0.0225,0,41.7,60,✅ No Action,Low churn risk — customer is stable,
993,26.1,10,Mid Value,0.0841,0,365.4,60,✅ No Action,Low churn risk — customer is stable,
4070,74.0,55,Low Value,0.3995,0,444.0,30,✅ No Action,Low churn risk — customer is stable,
1766,20.55,27,Mid Value,0.0057,0,123.3,60,✅ No Action,Low churn risk — customer is stable,
4022,18.85,10,Low Value,0.045,0,263.9,30,✅ No Action,Low churn risk — customer is stable,
1448,20.85,23,Low Value,0.0895,0,20.85,30,✅ No Action,Low churn risk — customer is stable,
6720,84.1,70,High Value,0.0133,0,504.6,100,✅ No Action,Low churn risk — customer is stable,
5509,46.0,5,Low Value,0.3908,1,874.0,30,✅ No Action,Low churn risk — customer is stable,
6731,19.55,24,Mid Value,0.0105,0,117.3,60,✅ No Action,Low churn risk — customer is stable,
3736,20.2,8,Mid Value,0.0652,0,323.2,60,✅ No Action,Low churn risk — customer is stable,
5797,88.8,19,Low Value,0.1274,0,444.0,30,✅ No Action,Low churn risk — customer is stable,
5669,100.55,43,High Value,0.1076,0,603.3,100,✅ No Action,Low churn risk — customer is stable,
2860,101.4,67,High Value,0.2179,0,608.4,100,✅ No Action,Low churn risk — customer is stable,
3824,55.3,4,Low Value,0.4218,0,1106.0,30,✅ No Action,Low churn risk — customer is stable,
2967,113.75,59,High Value,0.4783,0,682.5,100,✅ No Action,Low churn risk — customer is stable,
714,25.4,72,Mid Value,0.0008,0,152.4,60,✅ No Action,Low churn risk — customer is stable,
4676,20.0,19,Low Value,0.0843,0,100.0,30,✅ No Action,Low churn risk — customer is stable,
2911,73.5,1,Low Value,0.844,1,1690.5,30,💌 Low Priority — Send retention voucher,CLV ($1690.5) > Retention Cost ($30) → ROI = $1660.5,1660.5
4653,51.2,30,Low Value,0.0656,1,307.2,30,✅ No Action,Low churn risk — customer is stable,
492,74.4,2,Low Value,0.3441,1,1636.8,30,✅ No Action,Low churn risk — customer is stable,
1321,65.85,60,High Value,0.0478,0,395.1,100,✅ No Action,Low churn risk — customer is stable,
3669,111.5,44,High Value,0.2434,0,669.0,100,✅ No Action,Low churn risk — customer is stable,
5652,48.6,1,Low Value,0.5986,0,1117.8,30,💌 Low Priority — Send retention voucher,CLV ($1117.8) > Retention Cost ($30) → ROI = $1087.8,1087.8
6777,29.9,3,Low Value,0.6265,0,627.9,30,💌 Low Priority — Send retention voucher,CLV ($627.9) > Retention Cost ($30) → ROI = $597.9,597.9
4147,24.85,71,Mid Value,0.0012,0,149.1,60,✅ No Action,Low churn risk — customer is stable,
3848,49.2,2,Low Value,0.5022,0,1082.4,30,💌 Low Priority — Send retention voucher,CLV ($1082.4) > Retention Cost ($30) → ROI = $1052.4,1052.4
6149,25.85,1,Low Value,0.8431,0,594.55,30,💌 Low Priority — Send retention voucher,CLV ($594.55) > Retention Cost ($30) → ROI = $564.55,564.55
3897,115.5,72,High Value,0.0057,0,693.0,100,✅ No Action,Low churn risk — customer is stable,
5809,85.95,6,Low Value,0.8473,0,1547.1,30,💌 Low Priority — Send retention voucher,CLV ($1547.1) > Retention Cost ($30) → ROI = $1517.1,1517.1
2367,85.55,1,Low Value,0.8387,1,1967.65,30,💌 Low Priority — Send retention voucher,CLV ($1967.65) > Retention Cost ($30) → ROI = $1937.65,1937.65
2219,89.95,20,Low Value,0.4463,0,359.8,30,✅ No Action,Low churn risk — customer is stable,
2397,88.35,1,Low Value,0.955,1,2032.05,30,💌 Low Priority — Send retention voucher,CLV ($2032.05) > Retention Cost ($30) → ROI = $2002.05,2002.05
519,20.05,12,Low Value,0.1161,0,240.6,30,✅ No Action,Low churn risk — customer is stable,
3505,24.95,9,Low Value,0.6706,0,374.25,30,💌 Low Priority — Send retention voucher,CLV ($374.25) > Retention Cost ($30) → ROI = $344.25,344.25
5012,20.1,12,Low Value,0.4209,0,241.2,30,✅ No Action,Low churn risk — customer is stable,
685,49.9,1,Low Value,0.4453,0,1147.7,30,✅ No Action,Low churn risk — customer is stable,
3812,19.65,17,Mid Value,0.0097,0,137.55,60,✅ No Action,Low churn risk — customer is stable,
4986,79.55,12,Low Value,0.4457,0,954.6,30,✅ No Action,Low churn risk — customer is stable,
2294,106.7,12,Low Value,0.8279,1,1280.4,30,💌 Low Priority — Send retention voucher,CLV ($1280.4) > Retention Cost ($30) → ROI = $1250.4,1250.4
5006,55.7,15,Low Value,0.2853,1,501.3,30,✅ No Action,Low churn risk — customer is stable,
3665,99.0,71,High Value,0.0492,0,594.0,100,✅ No Action,Low churn risk — customer is stable,
2155,85.0,30,Low Value,0.7565,1,510.0,30,💌 Low Priority — Send retention voucher,CLV ($510.0) > Retention Cost ($30) → ROI = $480.0,480.0
5487,20.15,33,Mid Value,0.0139,0,120.9,60,✅ No Action,Low churn risk — customer is stable,
4817,19.9,1,Low Value,0.7397,0,457.7,30,💌 Low Priority — Send retention voucher,CLV ($457.7) > Retention Cost ($30) → ROI = $427.7,427.7
1219,70.45,62,High Value,0.1232,0,422.7,100,✅ No Action,Low churn risk — customer is stable,
4206,116.8,72,High Value,0.0035,0,700.8,100,✅ No Action,Low churn risk — customer is stable,
5067,66.3,30,Low Value,0.0248,0,397.8,30,✅ No Action,Low churn risk — customer is stable,
4317,20.55,3,Mid Value,0.0155,0,431.55,60,✅ No Action,Low churn risk — customer is stable,
2486,90.45,28,High Value,0.2585,0,542.7,100,✅ No Action,Low churn risk — customer is stable,
895,94.3,30,Low Value,0.6083,0,565.8,30,💌 Low Priority — Send retention voucher,CLV ($565.8) > Retention Cost ($30) → ROI = $535.8,535.8
580,19.0,12,Low Value,0.0257,1,228.0,30,✅ No Action,Low churn risk — customer is stable,
686,24.6,51,Mid Value,0.0396,0,147.6,60,✅ No Action,Low churn risk — customer is stable,
6523,45.9,15,Low Value,0.6053,0,413.1,30,💌 Low Priority — Send retention voucher,CLV ($413.1) > Retention Cost ($30) → ROI = $383.1,383.1
3466,25.1,72,Mid Value,0.0013,0,150.6,60,✅ No Action,Low churn risk — customer is stable,
5715,108.15,32,Low Value,0.0643,1,648.9,30,✅ No Action,Low churn risk — customer is stable,
2902,74.1,6,Low Value,0.6526,0,1333.8,30,💌 Low Priority — Send retention voucher,CLV ($1333.8) > Retention Cost ($30) → ROI = $1303.8,1303.8
3317,70.8,63,High Value,0.0795,0,424.8,100,✅ No Action,Low churn risk — customer is stable,
6179,95.15,11,Low Value,0.967,1,1236.95,30,💌 Low Priority — Send retention voucher,CLV ($1236.95) > Retention Cost ($30) → ROI = $1206.95,1206.95
6057,61.55,19,Low Value,0.207,0,307.75,30,✅ No Action,Low churn risk — customer is stable,
1343,73.05,64,High Value,0.0325,0,438.3,100,✅ No Action,Low churn risk — customer is stable,
4018,69.45,7,Low Value,0.1642,0,1180.65,30,✅ No Action,Low churn risk — customer is stable,
2674,20.05,4,Low Value,0.1296,0,401.0,30,✅ No Action,Low churn risk — customer is stable,
1316,19.95,7,Low Value,0.4473,0,339.15,30,✅ No Action,Low churn risk — customer is stable,
302,90.4,4,Low Value,0.3885,0,1808.0,30,✅ No Action,Low churn risk — customer is stable,
6015,74.55,3,Low Value,0.6057,0,1565.55,30,💌 Low Priority — Send retention voucher,CLV ($1565.55) > Retention Cost ($30) → ROI = $1535.55,1535.55
1584,53.5,65,Mid Value,0.0327,0,321.0,60,✅ No Action,Low churn risk — customer is stable,
3970,63.7,42,High Value,0.1423,0,382.2,100,✅ No Action,Low churn risk — customer is stable,
4160,75.0,26,Low Value,0.0501,0,450.0,30,✅ No Action,Low churn risk — customer is stable,
3898,25.05,48,Mid Value,0.1067,0,150.3,60,✅ No Action,Low churn risk — customer is stable,
5484,99.35,69,High Value,0.0707,0,596.1,100,✅ No Action,Low churn risk — customer is stable,
6457,44.45,17,Low Value,0.2848,0,311.15,30,✅ No Action,Low churn risk — customer is stable,
1890,21.0,1,Low Value,0.5997,1,483.0,30,💌 Low Priority — Send retention voucher,CLV ($483.0) > Retention Cost ($30) → ROI = $453.0,453.0
3145,76.65,4,Low Value,0.5709,1,1533.0,30,💌 Low Priority — Send retention voucher,CLV ($1533.0) > Retention Cost ($30) → ROI = $1503.0,1503.0
2699,96.35,34,Low Value,0.4065,0,578.1,30,✅ No Action,Low churn risk — customer is stable,
6308,70.35,2,Low Value,0.7404,0,1547.7,30,💌 Low Priority — Send retention voucher,CLV ($1547.7) > Retention Cost ($30) → ROI = $1517.7,1517.7
3216,50.45,1,Low Value,0.8106,1,1160.35,30,💌 Low Priority — Send retention voucher,CLV ($1160.35) > Retention Cost ($30) → ROI = $1130.35,1130.35
2849,20.3,12,Low Value,0.125,0,243.6,30,✅ No Action,Low churn risk — customer is stable,
7033,69.5,38,Low Value,0.3884,0,417.0,30,✅ No Action,Low churn risk — customer is stable,
1552,80.55,31,High Value,0.01,0,483.3,100,✅ No Action,Low churn risk — customer is stable,
3694,108.75,67,High Value,0.0627,1,652.5,100,✅ No Action,Low churn risk — customer is stable,
4253,88.75,22,Low Value,0.4347,0,177.5,30,✅ No Action,Low churn risk — customer is stable,
894,81.2,63,High Value,0.0083,0,487.2,100,✅ No Action,Low churn risk — customer is stable,
6436,79.6,70,High Value,0.0224,0,477.6,100,✅ No Action,Low churn risk — customer is stable,
2892,20.45,1,Low Value,0.5396,0,470.35,30,💌 Low Priority — Send retention voucher,CLV ($470.35) > Retention Cost ($30) → ROI = $440.35,440.35
2005,100.45,49,High Value,0.1134,1,602.7,100,✅ No Action,Low churn risk — customer is stable,
5470,89.45,71,High Value,0.0424,0,536.7,100,✅ No Action,Low churn risk — customer is stable,
1127,66.25,23,Low Value,0.2711,0,66.25,30,✅ No Action,Low churn risk — customer is stable,
5181,90.8,72,High Value,0.0004,0,544.8,100,✅ No Action,Low churn risk — customer is stable,
4408,71.45,72,High Value,0.0071,0,428.7,100,✅ No Action,Low churn risk — customer is stable,
1070,69.75,2,Low Value,0.7444,1,1534.5,30,💌 Low Priority — Send retention voucher,CLV ($1534.5) > Retention Cost ($30) → ROI = $1504.5,1504.5
4984,59.65,42,Low Value,0.1572,0,357.9,30,✅ No Action,Low churn risk — customer is stable,
5886,19.75,47,Mid Value,0.0082,0,118.5,60,✅ No Action,Low churn risk — customer is stable,
3155,19.85,29,Mid Value,0.0061,0,119.1,60,✅ No Action,Low churn risk — customer is stable,
2915,63.8,72,High Value,0.0009,0,382.8,100,✅ No Action,Low churn risk — customer is stable,
809,69.55,1,Low Value,0.9803,1,1599.65,30,💌 Low Priority — Send retention voucher,CLV ($1599.65) > Retention Cost ($30) → ROI = $1569.65,1569.65
5623,51.1,40,Low Value,0.1951,0,306.6,30,✅ No Action,Low churn risk — customer is stable,
4725,62.05,1,Low Value,0.6506,1,1427.15,30,💌 Low Priority — Send retention voucher,CLV ($1427.15) > Retention Cost ($30) → ROI = $1397.15,1397.15
6748,85.0,1,Low Value,0.9296,1,1955.0,30,💌 Low Priority — Send retention voucher,CLV ($1955.0) > Retention Cost ($30) → ROI = $1925.0,1925.0
6945,98.3,70,High Value,0.0342,1,589.8,100,✅ No Action,Low churn risk — customer is stable,
6951,19.9,49,Mid Value,0.0084,0,119.4,60,✅ No Action,Low churn risk — customer is stable,
1509,76.65,17,Low Value,0.2556,1,536.55,30,✅ No Action,Low churn risk — customer is stable,
4423,66.4,33,Low Value,0.0741,0,398.4,30,✅ No Action,Low churn risk — customer is stable,
1088,100.45,17,Low Value,0.2639,1,703.15,30,✅ No Action,Low churn risk — customer is stable,
6098,75.9,21,Low Value,0.0429,0,227.7,30,✅ No Action,Low churn risk — customer is stable,
3844,85.95,35,High Value,0.0795,1,515.7,100,✅ No Action,Low churn risk — customer is stable,
7036,60.65,12,Low Value,0.2828,0,727.8,30,✅ No Action,Low churn risk — customer is stable,
5902,50.85,9,Low Value,0.0682,0,762.75,30,✅ No Action,Low churn risk — customer is stable,
5828,24.45,72,Mid Value,0.0006,0,146.7,60,✅ No Action,Low churn risk — customer is stable,
3320,59.1,18,Low Value,0.102,0,354.6,30,✅ No Action,Low churn risk — customer is stable,
3818,109.1,58,High Value,0.2028,0,654.6,100,✅ No Action,Low churn risk — customer is stable,
2580,101.3,30,Low Value,0.3419,0,607.8,30,✅ No Action,Low churn risk — customer is stable,
4600,115.85,56,High Value,0.0329,0,695.1,100,✅ No Action,Low churn risk — customer is stable,
2798,94.9,10,Low Value,0.8497,1,1328.6,30,💌 Low Priority — Send retention voucher,CLV ($1328.6) > Retention Cost ($30) → ROI = $1298.6,1298.6
1851,35.1,2,Low Value,0.8286,1,772.2,30,💌 Low Priority — Send retention voucher,CLV ($772.2) > Retention Cost ($30) → ROI = $742.2,742.2
5725,24.65,18,Mid Value,0.0213,0,147.9,60,✅ No Action,Low churn risk — customer is stable,
4008,56.15,51,Mid Value,0.0137,0,336.9,60,✅ No Action,Low churn risk — customer is stable,
3751,109.45,60,High Value,0.2076,0,656.7,100,✅ No Action,Low churn risk — customer is stable,
3291,55.15,24,Low Value,0.1024,0,330.9,30,✅ No Action,Low churn risk — customer is stable,
6537,115.65,70,High Value,0.4906,1,693.9,100,✅ No Action,Low churn risk — customer is stable,
2961,53.75,12,Low Value,0.1491,0,645.0,30,✅ No Action,Low churn risk — customer is stable,
1123,61.6,25,Low Value,0.0862,0,369.6,30,✅ No Action,Low churn risk — customer is stable,
4113,20.35,36,Mid Value,0.0029,0,122.1,60,✅ No Action,Low churn risk — customer is stable,
2319,90.6,11,Low Value,0.4753,0,1177.8,30,✅ No Action,Low churn risk — customer is stable,
5975,89.75,7,Low Value,0.5338,1,1525.75,30,💌 Low Priority — Send retention voucher,CLV ($1525.75) > Retention Cost ($30) → ROI = $1495.75,1495.75
4473,98.1,26,Low Value,0.8242,0,588.6,30,💌 Low Priority — Send retention voucher,CLV ($588.6) > Retention Cost ($30) → ROI = $558.6,558.6
768,74.25,41,Low Value,0.5323,0,445.5,30,💌 Low Priority — Send retention voucher,CLV ($445.5) > Retention Cost ($30) → ROI = $415.5,415.5
4151,55.0,57,Low Value,0.4575,0,330.0,30,✅ No Action,Low churn risk — customer is stable,
2711,90.1,28,High Value,0.282,1,540.6,100,✅ No Action,Low churn risk — customer is stable,
6075,64.9,10,Low Value,0.1417,0,908.6,30,✅ No Action,Low churn risk — customer is stable,
3437,56.3,41,Mid Value,0.0442,0,337.8,60,✅ No Action,Low churn risk — customer is stable,
311,89.05,22,Low Value,0.1258,0,178.1,30,✅ No Action,Low churn risk — customer is stable,
2424,112.95,57,High Value,0.0443,1,677.7,100,✅ No Action,Low churn risk — customer is stable,
1237,19.45,13,Mid Value,0.0088,0,213.95,60,✅ No Action,Low churn risk — customer is stable,
3398,100.7,61,High Value,0.0968,0,604.2,100,✅ No Action,Low churn risk — customer is stable,
6230,20.05,1,Low Value,0.6803,0,461.15,30,💌 Low Priority — Send retention voucher,CLV ($461.15) > Retention Cost ($30) → ROI = $431.15,431.15
5515,19.35,18,Mid Value,0.0114,0,116.1,60,✅ No Action,Low churn risk — customer is stable,
4165,87.95,6,Low Value,0.6222,0,1583.1,30,💌 Low Priority — Send retention voucher,CLV ($1583.1) > Retention Cost ($30) → ROI = $1553.1,1553.1
1578,59.5,7,Low Value,0.3432,1,1011.5,30,✅ No Action,Low churn risk — customer is stable,
5512,55.3,9,Low Value,0.0713,0,829.5,30,✅ No Action,Low churn risk — customer is stable,
6346,49.25,1,Low Value,0.1312,1,1132.75,30,✅ No Action,Low churn risk — customer is stable,
5168,80.8,9,Low Value,0.5927,1,1212.0,30,💌 Low Priority — Send retention voucher,CLV ($1212.0) > Retention Cost ($30) → ROI = $1182.0,1182.0
6657,20.45,49,Mid Value,0.0084,0,122.7,60,✅ No Action,Low churn risk — customer is stable,
51,99.1,15,Low Value,0.6387,1,891.9,30,💌 Low Priority — Send retention voucher,CLV ($891.9) > Retention Cost ($30) → ROI = $861.9,861.9
2064,19.55,30,Mid Value,0.0192,0,117.3,60,✅ No Action,Low churn risk — customer is stable,
800,75.65,70,High Value,0.1716,0,453.9,100,✅ No Action,Low churn risk — customer is stable,
14,105.5,25,Low Value,0.8491,0,633.0,30,💌 Low Priority — Send retention voucher,CLV ($633.0) > Retention Cost ($30) → ROI = $603.0,603.0
884,35.8,49,Mid Value,0.003,0,214.8,60,✅ No Action,Low churn risk — customer is stable,
6108,25.15,18,Low Value,0.2243,0,150.9,30,✅ No Action,Low churn risk — customer is stable,
4666,19.2,25,Low Value,0.0415,0,115.2,30,✅ No Action,Low churn risk — customer is stable,
6383,40.1,23,Mid Value,0.012,0,40.1,60,✅ No Action,Low churn risk — customer is stable,
5449,103.15,67,High Value,0.0365,0,618.9,100,✅ No Action,Low churn risk — customer is stable,
949,20.5,35,Mid Value,0.0018,0,123.0,60,✅ No Action,Low churn risk — customer is stable,
1549,45.85,1,Low Value,0.8022,1,1054.55,30,💌 Low Priority — Send retention voucher,CLV ($1054.55) > Retention Cost ($30) → ROI = $1024.55,1024.55
1693,114.45,72,High Value,0.0065,0,686.7,100,✅ No Action,Low churn risk — customer is stable,
4185,20.7,1,Low Value,0.6088,0,476.1,30,💌 Low Priority — Send retention voucher,CLV ($476.1) > Retention Cost ($30) → ROI = $446.1,446.1
1648,80.95,60,High Value,0.0612,0,485.7,100,✅ No Action,Low churn risk — customer is stable,
2691,59.1,7,Low Value,0.4084,0,1004.7,30,✅ No Action,Low churn risk — customer is stable,
1288,19.55,64,Mid Value,0.0279,0,117.3,60,✅ No Action,Low churn risk — customer is stable,
2792,48.85,15,Low Value,0.3685,0,439.65,30,✅ No Action,Low churn risk — customer is stable,
658,19.85,2,Mid Value,0.0095,1,436.7,60,✅ No Action,Low churn risk — customer is stable,
5842,78.75,13,Low Value,0.7216,0,866.25,30,💌 Low Priority — Send retention voucher,CLV ($866.25) > Retention Cost ($30) → ROI = $836.25,836.25
4947,98.35,26,Low Value,0.9498,1,590.1,30,💌 Low Priority — Send retention voucher,CLV ($590.1) > Retention Cost ($30) → ROI = $560.1,560.1
6747,35.45,52,Mid Value,0.0076,0,212.7,60,✅ No Action,Low churn risk — customer is stable,
5615,20.2,1,Low Value,0.2406,1,464.6,30,✅ No Action,Low churn risk — customer is stable,
4810,89.85,15,Low Value,0.7189,1,808.65,30,💌 Low Priority — Send retention voucher,CLV ($808.65) > Retention Cost ($30) → ROI = $778.65,778.65
4664,74.9,2,Low Value,0.8175,1,1647.8,30,💌 Low Priority — Send retention voucher,CLV ($1647.8) > Retention Cost ($30) → ROI = $1617.8,1617.8
4856,91.15,31,Low Value,0.2513,1,546.9,30,✅ No Action,Low churn risk — customer is stable,
3744,75.5,26,Low Value,0.0626,0,453.0,30,✅ No Action,Low churn risk — customer is stable,
7,29.75,10,Low Value,0.3834,0,416.5,30,✅ No Action,Low churn risk — customer is stable,
5736,20.05,1,Low Value,0.6904,0,461.15,30,💌 Low Priority — Send retention voucher,CLV ($461.15) > Retention Cost ($30) → ROI = $431.15,431.15
5039,79.6,2,Low Value,0.8616,1,1751.2,30,💌 Low Priority — Send retention voucher,CLV ($1751.2) > Retention Cost ($30) → ROI = $1721.2,1721.2
3790,19.3,2,Mid Value,0.0122,1,424.6,60,✅ No Action,Low churn risk — customer is stable,
2290,48.75,13,Low Value,0.6279,1,536.25,30,💌 Low Priority — Send retention voucher,CLV ($536.25) > Retention Cost ($30) → ROI = $506.25,506.25
183,74.75,33,High Value,0.0374,0,448.5,100,✅ No Action,Low churn risk — customer is stable,
5587,91.3,46,High Value,0.0198,0,547.8,100,✅ No Action,Low churn risk — customer is stable,
1037,49.15,13,Low Value,0.8644,0,540.65,30,💌 Low Priority — Send retention voucher,CLV ($540.65) > Retention Cost ($30) → ROI = $510.65,510.65
3251,106.75,37,Low Value,0.0753,1,640.5,30,✅ No Action,Low churn risk — customer is stable,
2701,19.1,61,Mid Value,0.0073,0,114.6,60,✅ No Action,Low churn risk — customer is stable,
760,20.8,1,Low Value,0.7408,0,478.4,30,💌 Low Priority — Send retention voucher,CLV ($478.4) > Retention Cost ($30) → ROI = $448.4,448.4
6324,75.85,9,Low Value,0.2879,0,1137.75,30,✅ No Action,Low churn risk — customer is stable,
5675,69.6,3,Low Value,0.4289,0,1461.6,30,✅ No Action,Low churn risk — customer is stable,
165,19.9,69,Mid Value,0.002,0,119.4,60,✅ No Action,Low churn risk — customer is stable,
2593,20.3,62,Mid Value,0.0014,0,121.8,60,✅ No Action,Low churn risk — customer is stable,
404,19.7,20,Mid Value,0.0071,0,78.8,60,✅ No Action,Low churn risk — customer is stable,
5166,104.0,61,High Value,0.4259,0,624.0,100,✅ No Action,Low churn risk — customer is stable,
6104,23.9,4,Mid Value,0.4744,0,478.0,60,✅ No Action,Low churn risk — customer is stable,
3957,102.6,63,High Value,0.1723,0,615.6,100,✅ No Action,Low churn risk — customer is stable,
4281,35.0,50,Low Value,0.157,0,210.0,30,✅ No Action,Low churn risk — customer is stable,
6190,80.5,1,Low Value,0.9849,1,1851.5,30,💌 Low Priority — Send retention voucher,CLV ($1851.5) > Retention Cost ($30) → ROI = $1821.5,1821.5
832,74.1,70,High Value,0.0946,0,444.6,100,✅ No Action,Low churn risk — customer is stable,
805,76.8,72,High Value,0.0244,0,460.8,100,✅ No Action,Low churn risk — customer is stable,
5773,60.55,35,Low Value,0.2284,0,363.3,30,✅ No Action,Low churn risk — customer is stable,
1557,67.25,12,Low Value,0.5082,0,807.0,30,💌 Low Priority — Send retention voucher,CLV ($807.0) > Retention Cost ($30) → ROI = $777.0,777.0
6127,109.8,56,High Value,0.1999,0,658.8,100,✅ No Action,Low churn risk — customer is stable,
6885,73.75,12,Low Value,0.2713,1,885.0,30,✅ No Action,Low churn risk — customer is stable,
2088,55.8,36,Mid Value,0.0071,0,334.8,60,✅ No Action,Low churn risk — customer is stable,
5234,105.75,40,High Value,0.279,0,634.5,100,✅ No Action,Low churn risk — customer is stable,
4259,19.6,3,Low Value,0.2623,1,411.6,30,✅ No Action,Low churn risk — customer is stable,
683,103.75,40,High Value,0.51,0,622.5,100,📞 High Priority — Personal call + 20% discount,CLV ($622.5) > Retention Cost ($100) → ROI = $522.5,522.5
2472,70.9,67,High Value,0.081,0,425.4,100,✅ No Action,Low churn risk — customer is stable,
1162,72.35,67,High Value,0.0167,0,434.1,100,✅ No Action,Low churn risk — customer is stable,
2139,66.85,7,Low Value,0.4638,0,1136.45,30,✅ No Action,Low churn risk — customer is stable,
2968,90.4,3,Low Value,0.5557,0,1898.4,30,💌 Low Priority — Send retention voucher,CLV ($1898.4) > Retention Cost ($30) → ROI = $1868.4,1868.4
3798,100.3,42,Low Value,0.8692,0,601.8,30,💌 Low Priority — Send retention voucher,CLV ($601.8) > Retention Cost ($30) → ROI = $571.8,571.8
3769,26.2,40,Low Value,0.0692,0,157.2,30,✅ No Action,Low churn risk — customer is stable,
6973,94.0,53,High Value,0.233,0,564.0,100,✅ No Action,Low churn risk — customer is stable,
4475,19.55,3,Low Value,0.504,0,410.55,30,💌 Low Priority — Send retention voucher,CLV ($410.55) > Retention Cost ($30) → ROI = $380.55,380.55
6574,90.1,9,Low Value,0.8905,0,1351.5,30,💌 Low Priority — Send retention voucher,CLV ($1351.5) > Retention Cost ($30) → ROI = $1321.5,1321.5
1277,20.1,72,Mid Value,0.0026,0,120.6,60,✅ No Action,Low churn risk — customer is stable,
6207,85.0,46,Low Value,0.4608,1,510.0,30,✅ No Action,Low churn risk — customer is stable,
743,24.1,61,Mid Value,0.0018,0,144.6,60,✅ No Action,Low churn risk — customer is stable,
2138,69.95,54,High Value,0.0091,0,419.7,100,✅ No Action,Low churn risk — customer is stable,
5891,41.6,11,Low Value,0.8307,1,540.8,30,💌 Low Priority — Send retention voucher,CLV ($540.8) > Retention Cost ($30) → ROI = $510.8,510.8
4305,19.55,29,Mid Value,0.0083,0,117.3,60,✅ No Action,Low churn risk — customer is stable,
2204,111.3,67,High Value,0.1157,1,667.8,100,✅ No Action,Low churn risk — customer is stable,
2467,97.95,49,High Value,0.3282,0,587.7,100,✅ No Action,Low churn risk — customer is stable,
3112,100.55,72,High Value,0.0019,0,603.3,100,✅ No Action,Low churn risk — customer is stable,
6735,87.25,71,High Value,0.0013,0,523.5,100,✅ No Action,Low churn risk — customer is stable,
1756,74.85,44,High Value,0.0706,0,449.1,100,✅ No Action,Low churn risk — customer is stable,
2034,60.3,41,Mid Value,0.009,0,361.8,60,✅ No Action,Low churn risk — customer is stable,
541,58.95,11,Low Value,0.6117,0,766.35,30,💌 Low Priority — Send retention voucher,CLV ($766.35) > Retention Cost ($30) → ROI = $736.35,736.35
4629,19.3,13,Low Value,0.1509,0,212.3,30,✅ No Action,Low churn risk — customer is stable,
1254,88.8,55,High Value,0.0384,0,532.8,100,✅ No Action,Low churn risk — customer is stable,
6786,48.55,11,Low Value,0.3251,1,631.15,30,✅ No Action,Low churn risk — customer is stable,
6946,45.55,48,Low Value,0.2409,0,273.3,30,✅ No Action,Low churn risk — customer is stable,
796,81.7,31,High Value,0.0427,0,490.2,100,✅ No Action,Low churn risk — customer is stable,
4028,109.2,63,High Value,0.2543,0,655.2,100,✅ No Action,Low churn risk — customer is stable,
4210,65.2,61,High Value,0.0883,0,391.2,100,✅ No Action,Low churn risk — customer is stable,
6423,24.25,72,Mid Value,0.001,0,145.5,60,✅ No Action,Low churn risk — customer is stable,
2576,108.25,53,High Value,0.1138,0,649.5,100,✅ No Action,Low churn risk — customer is stable,
2278,48.2,7,Low Value,0.6463,0,819.4,30,💌 Low Priority — Send retention voucher,CLV ($819.4) > Retention Cost ($30) → ROI = $789.4,789.4
453,81.05,28,Low Value,0.2915,1,486.3,30,✅ No Action,Low churn risk — customer is stable,
1887,72.65,16,Low Value,0.7493,1,581.2,30,💌 Low Priority — Send retention voucher,CLV ($581.2) > Retention Cost ($30) → ROI = $551.2,551.2
3554,71.05,7,Low Value,0.691,0,1207.85,30,💌 Low Priority — Send retention voucher,CLV ($1207.85) > Retention Cost ($30) → ROI = $1177.85,1177.85
3293,64.0,5,Low Value,0.5747,0,1216.0,30,💌 Low Priority — Send retention voucher,CLV ($1216.0) > Retention Cost ($30) → ROI = $1186.0,1186.0
5804,23.9,71,Mid Value,0.0016,0,143.4,60,✅ No Action,Low churn risk — customer is stable,
2608,34.5,7,Low Value,0.219,1,586.5,30,✅ No Action,Low churn risk — customer is stable,
1568,111.4,11,Low Value,0.8533,0,1448.2,30,💌 Low Priority — Send retention voucher,CLV ($1448.2) > Retention Cost ($30) → ROI = $1418.2,1418.2
2913,63.9,52,High Value,0.0236,0,383.4,100,✅ No Action,Low churn risk — customer is stable,
2351,67.4,49,High Value,0.0383,0,404.4,100,✅ No Action,Low churn risk — customer is stable,
1846,18.8,19,Mid Value,0.0012,0,94.0,60,✅ No Action,Low churn risk — customer is stable,
1083,80.95,2,Low Value,0.7426,1,1780.9,30,💌 Low Priority — Send retention voucher,CLV ($1780.9) > Retention Cost ($30) → ROI = $1750.9,1750.9
6206,95.65,52,High Value,0.129,0,573.9,100,✅ No Action,Low churn risk — customer is stable,
626,84.25,23,Low Value,0.7643,0,84.25,30,💌 Low Priority — Send retention voucher,CLV ($84.25) > Retention Cost ($30) → ROI = $54.25,54.25
